observed,predicted
3.740558089508907,4.3354803131935515
3.3685003981004087,4.101138420110815
3.075462853975003,3.920346623227231
2.8615256275978127,3.7938974174042657
2.6906858389612087,3.9087236691466862
2.555650542401587,3.9848131405380047
2.4481976603487987,3.9870750227190226
2.3568368477024673,4.986116045140152
2.28287831029376,4.273931466172009
2.292986733986821,4.252391347388945
2.4817699107556006,4.97577833007356
3.0504794119477427,5.5965663427148336
7.879071791216511,8.124398547822905
6.111898989223636,7.733228881841433
5.265372107604886,7.029178802205523
4.5602753959070075,6.113672628656873
4.541109160402688,5.493924322017053
4.602600036824579,5.921585402059876
4.491961284664054,6.052471159893544
4.311775069203472,5.764608724978037
4.157571482471082,5.565283207535465
4.399105994900896,6.6230080494559935
4.632085631742197,7.015718316993266
4.467164756075257,6.546003034372558
5.911043967267046,6.0808003977633485
6.149413256126047,6.169266920736542
6.6471666868674815,6.795345561282871
7.268396448585302,7.429039490135069
7.858010058853295,7.857980768702196
8.457795051541197,8.515392478679685
9.022501011822403,8.900526561772612
9.50344921837016,8.991326326361321
9.864610973569421,9.532273951817347
10.08854444538056,9.595426030070557
10.164979359378668,9.739228895519526
10.116852923478323,9.801257886541517
3.5682305423726093,3.672648976764076
3.7189688324655714,3.429868548960723
3.8322557388928886,3.4100477225350945
3.9907137955626486,3.5585012298620873
4.031106272751124,3.6675717133524346
4.008363074342541,3.6750086940889735
4.068834554030775,3.685340266458972
4.1797815699336125,3.7123367269636423
4.305962182051386,3.736287011753903
4.403148186732869,3.7412953256316994
4.448278194881627,3.7264455209842713
4.480818948833192,3.7047134367092815
8.23607162731667,8.720489961868985
8.08483721641693,8.959960500017285
8.054601325592657,8.92647400634154
8.181975737838,8.737541661174374
8.352353829144374,8.890401826440327
8.483289259450785,9.024517804803825
8.673071320960176,9.279248813635592
8.970331327228964,9.5139073121145
9.25521579171748,9.608417570904892
9.451178980989953,9.520076663425074
9.478506691966345,9.339702175704591
9.447769547009841,9.229072067158242
5.48798155418206,5.734387516974348
5.318757951544012,5.592580760224833
5.382603271639567,5.487958756177853
5.344892730528755,5.53454662875456
5.3685444331794825,5.671254634510254
5.47432575725992,5.7557856708797726
5.623303562066109,5.833750580077419
5.676676143341777,5.7645416520418165
5.645074335007179,5.561494586882732
5.65029998482574,5.481076665275493
5.716661200567658,5.4841425439008225
5.849993705134265,5.546134356058336
